ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,performance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55493.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56400.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57087.8
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,57817.8
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57127.4
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,57750.4
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56974.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,56997.8
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,58023.0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,58200.0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,57251.4
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,59022.6
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,57245.4
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,58849.6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56380.6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,56750.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,59311.8
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,58937.0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59593.4
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,59883.6
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,59575.6
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,60170.0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,59857.2
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,60273.8
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,60735.2
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,60842.8
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,60417.2
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,61320.2
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,60462.6
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,61418.2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59307.4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59018.6
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,62086.0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,62047.8
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,62746.2
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,63472.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,63087.4
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,63585.4
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,62256.2
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,61992.0
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,65415.4
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,65307.2
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,64668.2
0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,65991.6
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,64607.0
0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,66183.0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,62898.0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,62699.8
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,63181.2
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,63162.6
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,65212.0
0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,65763.4
0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,65282.2
0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,65668.4
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,64074.2
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,64060.6
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,66516.0
0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,66684.2
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,64642.8
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,67200.6
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,64835.0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,67209.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55426.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55246.6
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,57888.2
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,57892.2
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58776.6
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,59254.8
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,58788.2
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,59394.0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,58378.4
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,58637.0
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,59745.2
0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,59661.4
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,58793.8
0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,60387.0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,58863.4
0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,60295.6
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,61076.8
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,60983.0
