fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,performance
0,0,0,0,0,64,2,256,46272.2
0,0,0,0,0,128,2,256,46236.8
0,0,0,0,0,256,2,256,46207.6
0,0,0,0,0,64,8,256,46297.6
0,0,0,0,0,128,8,256,46204.0
0,0,0,0,0,256,8,256,46305.6
0,0,0,0,0,64,32,256,46471.2
0,0,0,0,0,128,32,256,46255.0
0,0,0,0,0,256,32,256,46275.0
0,0,0,0,0,64,2,1024,47571.0
0,0,0,0,0,128,2,1024,46169.2
0,0,0,0,0,256,2,1024,46194.6
0,0,0,0,0,64,8,1024,46349.4
0,0,0,0,0,128,8,1024,46208.0
0,0,0,0,0,256,8,1024,46252.0
0,0,0,0,0,64,32,1024,46298.4
0,0,0,0,0,128,32,1024,46582.2
0,0,0,0,0,256,32,1024,46256.6
0,0,0,0,0,64,2,4096,46558.6
0,0,0,0,0,128,2,4096,46501.2
0,0,0,0,0,256,2,4096,46167.0
0,0,0,0,0,64,8,4096,46285.0
0,0,0,0,0,128,8,4096,46245.8
0,0,0,0,0,256,8,4096,46426.6
0,0,0,0,0,64,32,4096,46314.4
0,0,0,0,0,128,32,4096,46476.2
0,0,0,0,0,256,32,4096,46042.4
0,0,0,0,1,64,2,256,46337.0
0,0,0,0,1,128,2,256,47198.6
0,0,0,0,1,256,2,256,46214.2
0,0,0,0,1,64,8,256,46194.8
0,0,0,0,1,128,8,256,46184.2
0,0,0,0,1,256,8,256,46100.4
0,0,0,0,1,64,32,256,46295.4
0,0,0,0,1,128,32,256,46035.0
0,0,0,0,1,256,32,256,46294.8
0,0,0,0,1,64,2,1024,46267.8
0,0,0,0,1,128,2,1024,46113.2
0,0,0,0,1,256,2,1024,46354.2
0,0,0,0,1,64,8,1024,46184.4
0,0,0,0,1,128,8,1024,46255.2
0,0,0,0,1,256,8,1024,46303.0
0,0,0,0,1,64,32,1024,46172.2
0,0,0,0,1,128,32,1024,46299.2
0,0,0,0,1,256,32,1024,46176.6
0,0,0,0,1,64,2,4096,47346.2
0,0,0,0,1,128,2,4096,46108.2
0,0,0,0,1,256,2,4096,47094.8
0,0,0,0,1,64,8,4096,46327.8
0,0,0,0,1,128,8,4096,46212.2
0,0,0,0,1,256,8,4096,46282.0
0,0,0,0,1,64,32,4096,46073.6
0,0,0,0,1,128,32,4096,46304.6
0,0,0,0,1,256,32,4096,46070.8
0,0,0,1,0,64,2,256,46461.6
0,0,0,1,0,128,2,256,46486.8
0,0,0,1,0,256,2,256,46452.6
0,0,0,1,0,64,8,256,46269.0
0,0,0,1,0,128,8,256,46366.6
0,0,0,1,0,256,8,256,46388.8
0,0,0,1,0,64,32,256,46298.4
0,0,0,1,0,128,32,256,46457.2
0,0,0,1,0,256,32,256,46346.4
0,0,0,1,0,64,2,1024,46287.8
0,0,0,1,0,128,2,1024,46355.2
0,0,0,1,0,256,2,1024,46554.6
0,0,0,1,0,64,8,1024,46405.2
0,0,0,1,0,128,8,1024,46551.6
0,0,0,1,0,256,8,1024,46393.4
0,0,0,1,0,64,32,1024,46258.0
0,0,0,1,0,128,32,1024,46368.8
0,0,0,1,0,256,32,1024,46419.0
0,0,0,1,0,64,2,4096,46738.0
0,0,0,1,0,128,2,4096,47528.8
0,0,0,1,0,256,2,4096,46365.8
0,0,0,1,0,64,8,4096,46361.2
0,0,0,1,0,128,8,4096,46352.2
0,0,0,1,0,256,8,4096,46597.8
0,0,0,1,0,64,32,4096,46264.2
0,0,0,1,0,128,32,4096,46365.0
0,0,0,1,0,256,32,4096,46898.4
0,0,0,1,1,64,2,256,46471.2
0,0,0,1,1,128,2,256,46335.6
0,0,0,1,1,256,2,256,46438.2
0,0,0,1,1,64,8,256,46340.2
0,0,0,1,1,128,8,256,46472.4
0,0,0,1,1,256,8,256,46222.8
0,0,0,1,1,64,32,256,46427.2
0,0,0,1,1,128,32,256,46408.2
0,0,0,1,1,256,32,256,47443.6
0,0,0,1,1,64,2,1024,46426.0
0,0,0,1,1,128,2,1024,46407.8
0,0,0,1,1,256,2,1024,46274.2
0,0,0,1,1,64,8,1024,47331.0
0,0,0,1,1,128,8,1024,46358.4
0,0,0,1,1,256,8,1024,46307.6
0,0,0,1,1,64,32,1024,46600.2
0,0,0,1,1,128,32,1024,46258.4
