new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4,1,1,1,1,1,1,1,1,1,23.546
1,1,1,1,1,1,1,1,1,1,87.212
2,1,1,1,1,1,1,1,1,1,46.012
3,1,1,1,1,1,1,1,1,1,31.444
4,2,1,1,1,1,1,1,1,1,31.65
1,2,1,1,1,1,1,1,1,1,117.91
2,2,1,1,1,1,1,1,1,1,62.598
3,2,1,1,1,1,1,1,1,1,43.274
4,3,1,1,1,1,1,1,1,1,42.854
1,3,1,1,1,1,1,1,1,1,157.852
2,3,1,1,1,1,1,1,1,1,84.094
3,3,1,1,1,1,1,1,1,1,58.876
4,1,2,1,1,1,1,1,1,1,23.47
1,1,2,1,1,1,1,1,1,1,87.288
2,1,2,1,1,1,1,1,1,1,46.128
3,1,2,1,1,1,1,1,1,1,31.206
4,2,2,1,1,1,1,1,1,1,31.816
1,2,2,1,1,1,1,1,1,1,118.142
2,2,2,1,1,1,1,1,1,1,62.532
3,2,2,1,1,1,1,1,1,1,43.57
4,3,2,1,1,1,1,1,1,1,43.26
1,3,2,1,1,1,1,1,1,1,157.898
2,3,2,1,1,1,1,1,1,1,84.032
3,3,2,1,1,1,1,1,1,1,58.714
4,1,3,1,1,1,1,1,1,1,23.416
1,1,3,1,1,1,1,1,1,1,87.206
2,1,3,1,1,1,1,1,1,1,46.24
3,1,3,1,1,1,1,1,1,1,31.464
4,2,3,1,1,1,1,1,1,1,31.73
1,2,3,1,1,1,1,1,1,1,118.508
2,2,3,1,1,1,1,1,1,1,62.674
3,2,3,1,1,1,1,1,1,1,43.294
4,3,3,1,1,1,1,1,1,1,42.686
1,3,3,1,1,1,1,1,1,1,157.894
2,3,3,1,1,1,1,1,1,1,84.078
3,3,3,1,1,1,1,1,1,1,58.82
4,1,1,1,1,1,1,1,1,0,23.102
1,1,1,1,1,1,1,1,1,0,86.792
2,1,1,1,1,1,1,1,1,0,45.928
3,1,1,1,1,1,1,1,1,0,31.164
4,2,1,1,1,1,1,1,1,0,31.514
