system,algorithm,repeat,run_seed,budget,sampled_index,sampled_performance,best_found,normalised_gap,optimum,worst
7z,random_search,0,20260424,1,44384,41741.8,41741.8,0.08931338494717378,4196.4,424574.6
7z,random_search,0,20260424,2,1970,17740.4,17740.4,0.03221860695916202,4196.4,424574.6
7z,random_search,0,20260424,3,19166,14749.8,14749.8,0.025104536819464,4196.4,424574.6
7z,random_search,0,20260424,4,28709,12228.8,12228.8,0.019107556005520745,4196.4,424574.6
7z,random_search,0,20260424,5,9420,101569.8,12228.8,0.019107556005520745,4196.4,424574.6
7z,random_search,0,20260424,6,3889,72865.4,12228.8,0.019107556005520745,4196.4,424574.6
7z,random_search,0,20260424,7,37383,10805.2,10805.2,0.015721081635536767,4196.4,424574.6
7z,random_search,0,20260424,8,61092,9222.2,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,9,50566,417364.0,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,10,27151,91577.4,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,11,46329,415760.0,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,12,8203,83937.6,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,13,61415,47688.6,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,14,6888,17742.0,9222.2,0.011955424900720355,4196.4,424574.6
7z,random_search,0,20260424,15,22410,4857.6,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,16,51430,414566.8,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,17,61387,47580.0,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,18,68369,120845.0,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,19,14894,18006.8,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,20,49859,35801.4,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,21,47062,416984.8,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,22,58950,120990.6,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,23,37729,48350.0,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,24,45276,115870.4,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,25,9879,73774.0,4857.6,0.0015728693828557256,4196.4,424574.6
7z,random_search,0,20260424,26,13946,4678.4,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,27,55091,9126.2,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,28,10056,96987.0,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,29,29027,37715.8,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,30,50922,43250.8,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,31,18559,91766.8,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,32,14526,102009.2,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,33,12687,103043.2,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,34,7831,17757.6,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,35,63391,298738.6,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,36,34127,38153.0,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,37,9524,17681.0,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,38,7180,12458.6,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,39,10314,17663.0,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,40,11198,17932.6,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,41,14591,11210.2,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,42,27373,103669.0,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,43,12802,102694.4,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,44,65017,121411.8,4678.4,0.001146586573709103,4196.4,424574.6
7z,random_search,0,20260424,45,44233,20664.4,4678.4,0.001146586573709103,4196.4,424574.6
